Timestamp,AGE,Gender,Sleep Hours (Last Night),Sleep Quality,Wake-up Time,Breakfast,Steps Walked Today(Approx),Water Intake(Glasses),Exercise Today,Caffeine Intake,Total Screen Time (Hours Today),Social Media Usage Today,Stress Level (1-10),Mood Level Right Now(1-10),Energy Level Right Now(1-10),Work/Study Hours Today (So far),Time Spent Outside Today,Weather (Your Area Today),Completed your goal today?  
17/11/2025 17:39:36,18-20,Male,5-6 hours,4,6-7 AM,No,"10,000+",5-6,"Yes, intense (45+ min)",1 cup,4-6 hours,30-60 min,3,7,8,2 hours,30–60 minutes,Pleasant,Yes
17/11/2025 20:44:27,21-23,Male,6-7 hours,4,5-6 AM,Yes,"8000-10,000",7-9,No,3 cups,2-4 hours,0-30 min,4,8,8,5+ hours,1–2 hours,Cold,Yes
17/11/2025 20:53:08,21-23,Female,5-6 hours,4,7-8 AM,Yes,2000-5000,5-6,"Yes, light (0-20 min)",0 cups,4-6 hours,1-2 hours,4,7,7,3 hours,1–2 hours,Cold,Yes
17/11/2025 20:55:20,18-20,Male,5-6 hours,3,7-8 AM,No,0-2000,0-2,"Yes, medium (20-45 min)",0 cups,6-8 hours,1-2 hours,3,5,5,3 hours,30–60 minutes,Cold,No
17/11/2025 21:39:34,18-20,Male,5-6 hours,4,6-7 AM,Yes,5000-8000,7-9,"Yes, intense (45+ min)",0 cups,2-4 hours,30-60 min,7,5,9,3 hours,1–2 hours,Pleasant,Yes
17/11/2025 21:41:49,18-20,Male,6-7 hours,3,7-8 AM,Yes,0-2000,3-4,No,2 cups,4-6 hours,1-2 hours,6,4,3,1 hours,0–10 minutes,Cold,No
17/11/2025 21:42:30,21-23,Male,4-5 hours,3,8-9 AM,Yes,2000-5000,5-6,No,0 cups,6-8 hours,3+ hours,2,3,5,2 hours,2+ hours,Cold,No
17/11/2025 21:42:34,18-20,Male,5-6 hours,4,5-6 AM,Yes,5000-8000,7-9,"Yes, medium (20-45 min)",2 cups,2-4 hours,1-2 hours,5,5,7,3 hours,2+ hours,Cold,No
17/11/2025 21:42:44,18-20,Male,5-6 hours,3,6-7 AM,Yes,"8000-10,000",7-9,"Yes, intense (45+ min)",0 cups,4-6 hours,2-3 hours,4,8,10,3 hours,30–60 minutes,Cold,Yes
17/11/2025 21:42:49,18-20,Female,More than 8 hours,5 (Excellent),After 9 AM,No,2000-5000,3-4,No,0 cups,4-6 hours,1-2 hours,10,5,1,2 hours,1–2 hours,Cold,No
